"CLDR.Short.Name";"Code";"Browser";"R.Encoding"
"⊛ fairy: medium-light skin tone";"U+1F9DA U+1F3FC";"🧚🏼";"<f0><9f><a7><9a> <f0><9f><8f><bc>"
"⊛ fairy: medium skin tone";"U+1F9DA U+1F3FD";"🧚🏽";"<f0><9f><a7><9a> <f0><9f><8f><bd>"
"⊛ fairy: medium-dark skin tone";"U+1F9DA U+1F3FE";"🧚🏾";"<f0><9f><a7><9a> <f0><9f><8f><be>"
"⊛ fairy: dark skin tone";"U+1F9DA U+1F3FF";"🧚🏿";"<f0><9f><a7><9a> <f0><9f><8f><bf>"
"⊛ woman fairy";"U+1F9DA U+200D U+2640 U+FE0F";"🧚
♀️";"<f0><9f><a7><9a> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ woman fairy: light skin tone";"U+1F9DA U+1F3FB U+200D U+2640 U+FE0F";"🧚🏻
♀️";"<f0><9f><a7><9a> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ woman fairy: medium-light skin tone";"U+1F9DA U+1F3FC U+200D U+2640 U+FE0F";"🧚🏼
♀️";"<f0><9f><a7><9a> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ woman fairy: medium skin tone";"U+1F9DA U+1F3FD U+200D U+2640 U+FE0F";"🧚🏽
♀️";"<f0><9f><a7><9a> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ woman fairy: medium-dark skin tone";"U+1F9DA U+1F3FE U+200D U+2640 U+FE0F";"🧚🏾
♀️";"<f0><9f><a7><9a> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ woman fairy: dark skin tone";"U+1F9DA U+1F3FF U+200D U+2640 U+FE0F";"🧚🏿
♀️";"<f0><9f><a7><9a> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ man fairy";"U+1F9DA U+200D U+2642 U+FE0F";"🧚
♂️";"<f0><9f><a7><9a> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ man fairy: light skin tone";"U+1F9DA U+1F3FB U+200D U+2642 U+FE0F";"🧚🏻
♂️";"<f0><9f><a7><9a> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ man fairy: medium-light skin tone";"U+1F9DA U+1F3FC U+200D U+2642 U+FE0F";"🧚🏼
♂️";"<f0><9f><a7><9a> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ man fairy: medium skin tone";"U+1F9DA U+1F3FD U+200D U+2642 U+FE0F";"🧚🏽
♂️";"<f0><9f><a7><9a> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ man fairy: medium-dark skin tone";"U+1F9DA U+1F3FE U+200D U+2642 U+FE0F";"🧚🏾
♂️";"<f0><9f><a7><9a> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ man fairy: dark skin tone";"U+1F9DA U+1F3FF U+200D U+2642 U+FE0F";"🧚🏿
♂️";"<f0><9f><a7><9a> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ vampire";"U+1F9DB";"🧛";"<f0><9f><a7><9b>"
"⊛ vampire: light skin tone";"U+1F9DB U+1F3FB";"🧛🏻";"<f0><9f><a7><9b> <f0><9f><8f><bb>"
"⊛ vampire: medium-light skin tone";"U+1F9DB U+1F3FC";"🧛🏼";"<f0><9f><a7><9b> <f0><9f><8f><bc>"
"⊛ vampire: medium skin tone";"U+1F9DB U+1F3FD";"🧛🏽";"<f0><9f><a7><9b> <f0><9f><8f><bd>"
"⊛ vampire: medium-dark skin tone";"U+1F9DB U+1F3FE";"🧛🏾";"<f0><9f><a7><9b> <f0><9f><8f><be>"
"⊛ vampire: dark skin tone";"U+1F9DB U+1F3FF";"🧛🏿";"<f0><9f><a7><9b> <f0><9f><8f><bf>"
"⊛ woman vampire";"U+1F9DB U+200D U+2640 U+FE0F";"🧛
♀️";"<f0><9f><a7><9b> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ woman vampire: light skin tone";"U+1F9DB U+1F3FB U+200D U+2640 U+FE0F";"🧛🏻
♀️";"<f0><9f><a7><9b> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ woman vampire: medium-light skin tone";"U+1F9DB U+1F3FC U+200D U+2640 U+FE0F";"🧛🏼
♀️";"<f0><9f><a7><9b> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ woman vampire: medium skin tone";"U+1F9DB U+1F3FD U+200D U+2640 U+FE0F";"🧛🏽
♀️";"<f0><9f><a7><9b> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ woman vampire: medium-dark skin tone";"U+1F9DB U+1F3FE U+200D U+2640 U+FE0F";"🧛🏾
♀️";"<f0><9f><a7><9b> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ woman vampire: dark skin tone";"U+1F9DB U+1F3FF U+200D U+2640 U+FE0F";"🧛🏿
♀️";"<f0><9f><a7><9b> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ man vampire";"U+1F9DB U+200D U+2642 U+FE0F";"🧛
♂️";"<f0><9f><a7><9b> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ man vampire: light skin tone";"U+1F9DB U+1F3FB U+200D U+2642 U+FE0F";"🧛🏻
♂️";"<f0><9f><a7><9b> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ man vampire: medium-light skin tone";"U+1F9DB U+1F3FC U+200D U+2642 U+FE0F";"🧛🏼
♂️";"<f0><9f><a7><9b> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ man vampire: medium skin tone";"U+1F9DB U+1F3FD U+200D U+2642 U+FE0F";"🧛🏽
♂️";"<f0><9f><a7><9b> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ man vampire: medium-dark skin tone";"U+1F9DB U+1F3FE U+200D U+2642 U+FE0F";"🧛🏾
♂️";"<f0><9f><a7><9b> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ man vampire: dark skin tone";"U+1F9DB U+1F3FF U+200D U+2642 U+FE0F";"🧛🏿
♂️";"<f0><9f><a7><9b> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ merperson";"U+1F9DC";"🧜";"<f0><9f><a7><9c>"
"⊛ merperson: light skin tone";"U+1F9DC U+1F3FB";"🧜🏻";"<f0><9f><a7><9c> <f0><9f><8f><bb>"
"⊛ merperson: medium-light skin tone";"U+1F9DC U+1F3FC";"🧜🏼";"<f0><9f><a7><9c> <f0><9f><8f><bc>"
"⊛ merperson: medium skin tone";"U+1F9DC U+1F3FD";"🧜🏽";"<f0><9f><a7><9c> <f0><9f><8f><bd>"
"⊛ merperson: medium-dark skin tone";"U+1F9DC U+1F3FE";"🧜🏾";"<f0><9f><a7><9c> <f0><9f><8f><be>"
"⊛ merperson: dark skin tone";"U+1F9DC U+1F3FF";"🧜🏿";"<f0><9f><a7><9c> <f0><9f><8f><bf>"
"⊛ mermaid";"U+1F9DC U+200D U+2640 U+FE0F";"🧜
♀️";"<f0><9f><a7><9c> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ mermaid: light skin tone";"U+1F9DC U+1F3FB U+200D U+2640 U+FE0F";"🧜🏻
♀️";"<f0><9f><a7><9c> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ mermaid: medium-light skin tone";"U+1F9DC U+1F3FC U+200D U+2640 U+FE0F";"🧜🏼
♀️";"<f0><9f><a7><9c> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ mermaid: medium skin tone";"U+1F9DC U+1F3FD U+200D U+2640 U+FE0F";"🧜🏽
♀️";"<f0><9f><a7><9c> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ mermaid: medium-dark skin tone";"U+1F9DC U+1F3FE U+200D U+2640 U+FE0F";"🧜🏾
♀️";"<f0><9f><a7><9c> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ mermaid: dark skin tone";"U+1F9DC U+1F3FF U+200D U+2640 U+FE0F";"🧜🏿
♀️";"<f0><9f><a7><9c> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ merman";"U+1F9DC U+200D U+2642 U+FE0F";"🧜
♂️";"<f0><9f><a7><9c> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ merman: light skin tone";"U+1F9DC U+1F3FB U+200D U+2642 U+FE0F";"🧜🏻
♂️";"<f0><9f><a7><9c> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ merman: medium-light skin tone";"U+1F9DC U+1F3FC U+200D U+2642 U+FE0F";"🧜🏼
♂️";"<f0><9f><a7><9c> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ merman: medium skin tone";"U+1F9DC U+1F3FD U+200D U+2642 U+FE0F";"🧜🏽
♂️";"<f0><9f><a7><9c> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ merman: medium-dark skin tone";"U+1F9DC U+1F3FE U+200D U+2642 U+FE0F";"🧜🏾
♂️";"<f0><9f><a7><9c> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ merman: dark skin tone";"U+1F9DC U+1F3FF U+200D U+2642 U+FE0F";"🧜🏿
♂️";"<f0><9f><a7><9c> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ elf";"U+1F9DD";"🧝";"<f0><9f><a7><9d>"
"⊛ elf: light skin tone";"U+1F9DD U+1F3FB";"🧝🏻";"<f0><9f><a7><9d> <f0><9f><8f><bb>"
"⊛ elf: medium-light skin tone";"U+1F9DD U+1F3FC";"🧝🏼";"<f0><9f><a7><9d> <f0><9f><8f><bc>"
"⊛ elf: medium skin tone";"U+1F9DD U+1F3FD";"🧝🏽";"<f0><9f><a7><9d> <f0><9f><8f><bd>"
"⊛ elf: medium-dark skin tone";"U+1F9DD U+1F3FE";"🧝🏾";"<f0><9f><a7><9d> <f0><9f><8f><be>"
"⊛ elf: dark skin tone";"U+1F9DD U+1F3FF";"🧝🏿";"<f0><9f><a7><9d> <f0><9f><8f><bf>"
"⊛ woman elf";"U+1F9DD U+200D U+2640 U+FE0F";"🧝
♀️";"<f0><9f><a7><9d> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ woman elf: light skin tone";"U+1F9DD U+1F3FB U+200D U+2640 U+FE0F";"🧝🏻
♀️";"<f0><9f><a7><9d> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ woman elf: medium-light skin tone";"U+1F9DD U+1F3FC U+200D U+2640 U+FE0F";"🧝🏼
♀️";"<f0><9f><a7><9d> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ woman elf: medium skin tone";"U+1F9DD U+1F3FD U+200D U+2640 U+FE0F";"🧝🏽
♀️";"<f0><9f><a7><9d> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ woman elf: medium-dark skin tone";"U+1F9DD U+1F3FE U+200D U+2640 U+FE0F";"🧝🏾
♀️";"<f0><9f><a7><9d> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ woman elf: dark skin tone";"U+1F9DD U+1F3FF U+200D U+2640 U+FE0F";"🧝🏿
♀️";"<f0><9f><a7><9d> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ man elf";"U+1F9DD U+200D U+2642 U+FE0F";"🧝
♂️";"<f0><9f><a7><9d> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ man elf: light skin tone";"U+1F9DD U+1F3FB U+200D U+2642 U+FE0F";"🧝🏻
♂️";"<f0><9f><a7><9d> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ man elf: medium-light skin tone";"U+1F9DD U+1F3FC U+200D U+2642 U+FE0F";"🧝🏼
♂️";"<f0><9f><a7><9d> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ man elf: medium skin tone";"U+1F9DD U+1F3FD U+200D U+2642 U+FE0F";"🧝🏽
♂️";"<f0><9f><a7><9d> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ man elf: medium-dark skin tone";"U+1F9DD U+1F3FE U+200D U+2642 U+FE0F";"🧝🏾
♂️";"<f0><9f><a7><9d> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ man elf: dark skin tone";"U+1F9DD U+1F3FF U+200D U+2642 U+FE0F";"🧝🏿
♂️";"<f0><9f><a7><9d> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ genie";"U+1F9DE";"🧞";"<f0><9f><a7><9e>"
"⊛ woman genie";"U+1F9DE U+200D U+2640 U+FE0F";"🧞
♀️";"<f0><9f><a7><9e> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ man genie";"U+1F9DE U+200D U+2642 U+FE0F";"🧞
♂️";"<f0><9f><a7><9e> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"⊛ zombie";"U+1F9DF";"🧟";"<f0><9f><a7><9f>"
"⊛ woman zombie";"U+1F9DF U+200D U+2640 U+FE0F";"🧟
♀️";"<f0><9f><a7><9f> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"⊛ man zombie";"U+1F9DF U+200D U+2642 U+FE0F";"🧟
♂️";"<f0><9f><a7><9f> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"person frowning";"U+1F64D";"🙍";"<f0><9f><99><8d>"
"person frowning: light skin tone";"U+1F64D U+1F3FB";"🙍🏻";"<f0><9f><99><8d> <f0><9f><8f><bb>"
"person frowning: medium-light skin tone";"U+1F64D U+1F3FC";"🙍🏼";"<f0><9f><99><8d> <f0><9f><8f><bc>"
"person frowning: medium skin tone";"U+1F64D U+1F3FD";"🙍🏽";"<f0><9f><99><8d> <f0><9f><8f><bd>"
"person frowning: medium-dark skin tone";"U+1F64D U+1F3FE";"🙍🏾";"<f0><9f><99><8d> <f0><9f><8f><be>"
"person frowning: dark skin tone";"U+1F64D U+1F3FF";"🙍🏿";"<f0><9f><99><8d> <f0><9f><8f><bf>"
"man frowning";"U+1F64D U+200D U+2642 U+FE0F";"🙍
♂️";"<f0><9f><99><8d> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man frowning: light skin tone";"U+1F64D U+1F3FB U+200D U+2642 U+FE0F";"🙍🏻
♂️";"<f0><9f><99><8d> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man frowning: medium-light skin tone";"U+1F64D U+1F3FC U+200D U+2642 U+FE0F";"🙍🏼
♂️";"<f0><9f><99><8d> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man frowning: medium skin tone";"U+1F64D U+1F3FD U+200D U+2642 U+FE0F";"🙍🏽
♂️";"<f0><9f><99><8d> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man frowning: medium-dark skin tone";"U+1F64D U+1F3FE U+200D U+2642 U+FE0F";"🙍🏾
♂️";"<f0><9f><99><8d> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man frowning: dark skin tone";"U+1F64D U+1F3FF U+200D U+2642 U+FE0F";"🙍🏿
♂️";"<f0><9f><99><8d> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"woman frowning";"U+1F64D U+200D U+2640 U+FE0F";"🙍
♀️";"<f0><9f><99><8d> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman frowning: light skin tone";"U+1F64D U+1F3FB U+200D U+2640 U+FE0F";"🙍🏻
♀️";"<f0><9f><99><8d> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman frowning: medium-light skin tone";"U+1F64D U+1F3FC U+200D U+2640 U+FE0F";"🙍🏼
♀️";"<f0><9f><99><8d> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman frowning: medium skin tone";"U+1F64D U+1F3FD U+200D U+2640 U+FE0F";"🙍🏽
♀️";"<f0><9f><99><8d> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman frowning: medium-dark skin tone";"U+1F64D U+1F3FE U+200D U+2640 U+FE0F";"🙍🏾
♀️";"<f0><9f><99><8d> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman frowning: dark skin tone";"U+1F64D U+1F3FF U+200D U+2640 U+FE0F";"🙍🏿
♀️";"<f0><9f><99><8d> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"person pouting";"U+1F64E";"🙎";"<f0><9f><99><8e>"
"person pouting: light skin tone";"U+1F64E U+1F3FB";"🙎🏻";"<f0><9f><99><8e> <f0><9f><8f><bb>"
"person pouting: medium-light skin tone";"U+1F64E U+1F3FC";"🙎🏼";"<f0><9f><99><8e> <f0><9f><8f><bc>"
"person pouting: medium skin tone";"U+1F64E U+1F3FD";"🙎🏽";"<f0><9f><99><8e> <f0><9f><8f><bd>"
"person pouting: medium-dark skin tone";"U+1F64E U+1F3FE";"🙎🏾";"<f0><9f><99><8e> <f0><9f><8f><be>"
"person pouting: dark skin tone";"U+1F64E U+1F3FF";"🙎🏿";"<f0><9f><99><8e> <f0><9f><8f><bf>"
"man pouting";"U+1F64E U+200D U+2642 U+FE0F";"🙎
♂️";"<f0><9f><99><8e> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man pouting: light skin tone";"U+1F64E U+1F3FB U+200D U+2642 U+FE0F";"🙎🏻
♂️";"<f0><9f><99><8e> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man pouting: medium-light skin tone";"U+1F64E U+1F3FC U+200D U+2642 U+FE0F";"🙎🏼
♂️";"<f0><9f><99><8e> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man pouting: medium skin tone";"U+1F64E U+1F3FD U+200D U+2642 U+FE0F";"🙎🏽
♂️";"<f0><9f><99><8e> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man pouting: medium-dark skin tone";"U+1F64E U+1F3FE U+200D U+2642 U+FE0F";"🙎🏾
♂️";"<f0><9f><99><8e> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man pouting: dark skin tone";"U+1F64E U+1F3FF U+200D U+2642 U+FE0F";"🙎🏿
♂️";"<f0><9f><99><8e> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"woman pouting";"U+1F64E U+200D U+2640 U+FE0F";"🙎
♀️";"<f0><9f><99><8e> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman pouting: light skin tone";"U+1F64E U+1F3FB U+200D U+2640 U+FE0F";"🙎🏻
♀️";"<f0><9f><99><8e> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman pouting: medium-light skin tone";"U+1F64E U+1F3FC U+200D U+2640 U+FE0F";"🙎🏼
♀️";"<f0><9f><99><8e> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman pouting: medium skin tone";"U+1F64E U+1F3FD U+200D U+2640 U+FE0F";"🙎🏽
♀️";"<f0><9f><99><8e> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman pouting: medium-dark skin tone";"U+1F64E U+1F3FE U+200D U+2640 U+FE0F";"🙎🏾
♀️";"<f0><9f><99><8e> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman pouting: dark skin tone";"U+1F64E U+1F3FF U+200D U+2640 U+FE0F";"🙎🏿
♀️";"<f0><9f><99><8e> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"person gesturing NO";"U+1F645";"🙅";"<f0><9f><99><85>"
"person gesturing NO: light skin tone";"U+1F645 U+1F3FB";"🙅🏻";"<f0><9f><99><85> <f0><9f><8f><bb>"
"person gesturing NO: medium-light skin tone";"U+1F645 U+1F3FC";"🙅🏼";"<f0><9f><99><85> <f0><9f><8f><bc>"
"person gesturing NO: medium skin tone";"U+1F645 U+1F3FD";"🙅🏽";"<f0><9f><99><85> <f0><9f><8f><bd>"
"person gesturing NO: medium-dark skin tone";"U+1F645 U+1F3FE";"🙅🏾";"<f0><9f><99><85> <f0><9f><8f><be>"
"person gesturing NO: dark skin tone";"U+1F645 U+1F3FF";"🙅🏿";"<f0><9f><99><85> <f0><9f><8f><bf>"
"man gesturing NO";"U+1F645 U+200D U+2642 U+FE0F";"🙅
♂️";"<f0><9f><99><85> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man gesturing NO: light skin tone";"U+1F645 U+1F3FB U+200D U+2642 U+FE0F";"🙅🏻
♂️";"<f0><9f><99><85> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man gesturing NO: medium-light skin tone";"U+1F645 U+1F3FC U+200D U+2642 U+FE0F";"🙅🏼
♂️";"<f0><9f><99><85> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man gesturing NO: medium skin tone";"U+1F645 U+1F3FD U+200D U+2642 U+FE0F";"🙅🏽
♂️";"<f0><9f><99><85> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man gesturing NO: medium-dark skin tone";"U+1F645 U+1F3FE U+200D U+2642 U+FE0F";"🙅🏾
♂️";"<f0><9f><99><85> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man gesturing NO: dark skin tone";"U+1F645 U+1F3FF U+200D U+2642 U+FE0F";"🙅🏿
♂️";"<f0><9f><99><85> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"woman gesturing NO";"U+1F645 U+200D U+2640 U+FE0F";"🙅
♀️";"<f0><9f><99><85> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman gesturing NO: light skin tone";"U+1F645 U+1F3FB U+200D U+2640 U+FE0F";"🙅🏻
♀️";"<f0><9f><99><85> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman gesturing NO: medium-light skin tone";"U+1F645 U+1F3FC U+200D U+2640 U+FE0F";"🙅🏼
♀️";"<f0><9f><99><85> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman gesturing NO: medium skin tone";"U+1F645 U+1F3FD U+200D U+2640 U+FE0F";"🙅🏽
♀️";"<f0><9f><99><85> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman gesturing NO: medium-dark skin tone";"U+1F645 U+1F3FE U+200D U+2640 U+FE0F";"🙅🏾
♀️";"<f0><9f><99><85> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"woman gesturing NO: dark skin tone";"U+1F645 U+1F3FF U+200D U+2640 U+FE0F";"🙅🏿
♀️";"<f0><9f><99><85> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
"person gesturing OK";"U+1F646";"🙆";"<f0><9f><99><86>"
"person gesturing OK: light skin tone";"U+1F646 U+1F3FB";"🙆🏻";"<f0><9f><99><86> <f0><9f><8f><bb>"
"person gesturing OK: medium-light skin tone";"U+1F646 U+1F3FC";"🙆🏼";"<f0><9f><99><86> <f0><9f><8f><bc>"
"person gesturing OK: medium skin tone";"U+1F646 U+1F3FD";"🙆🏽";"<f0><9f><99><86> <f0><9f><8f><bd>"
"person gesturing OK: medium-dark skin tone";"U+1F646 U+1F3FE";"🙆🏾";"<f0><9f><99><86> <f0><9f><8f><be>"
"person gesturing OK: dark skin tone";"U+1F646 U+1F3FF";"🙆🏿";"<f0><9f><99><86> <f0><9f><8f><bf>"
"man gesturing OK";"U+1F646 U+200D U+2642 U+FE0F";"🙆
♂️";"<f0><9f><99><86> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man gesturing OK: light skin tone";"U+1F646 U+1F3FB U+200D U+2642 U+FE0F";"🙆🏻
♂️";"<f0><9f><99><86> <f0><9f><8f><bb> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man gesturing OK: medium-light skin tone";"U+1F646 U+1F3FC U+200D U+2642 U+FE0F";"🙆🏼
♂️";"<f0><9f><99><86> <f0><9f><8f><bc> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man gesturing OK: medium skin tone";"U+1F646 U+1F3FD U+200D U+2642 U+FE0F";"🙆🏽
♂️";"<f0><9f><99><86> <f0><9f><8f><bd> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man gesturing OK: medium-dark skin tone";"U+1F646 U+1F3FE U+200D U+2642 U+FE0F";"🙆🏾
♂️";"<f0><9f><99><86> <f0><9f><8f><be> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"man gesturing OK: dark skin tone";"U+1F646 U+1F3FF U+200D U+2642 U+FE0F";"🙆🏿
♂️";"<f0><9f><99><86> <f0><9f><8f><bf> <f0><82><80><8d> <f0><82><99><82> <f0><8f><b8><8f>"
"woman gesturing OK";"U+1F646 U+200D U+2640 U+FE0F";"🙆
♀️";"<f0><9f><99><86> <f0><82><80><8d> <f0><82><99><80> <f0><8f><b8><8f>"
